15	10	E	-7498978.91381779	200
emissionprobs	6	2	H3k27me3	1	0.030694290432320852
emissionprobs	6	3	H3k36me3	0	0.998624905435783
emissionprobs	6	3	H3k36me3	1	0.00137509456421697
emissionprobs	6	4	H3k4me1	0	0.5292054211381906
emissionprobs	6	4	H3k4me1	1	0.4707945788618095
emissionprobs	6	5	H3k4me2	0	0.36918950737805734
emissionprobs	6	5	H3k4me2	1	0.6308104926219428
emissionprobs	6	6	H3k4me3	0	0.9177993067629849
emissionprobs	6	6	H3k4me3	1	0.08220069323701501
emissionprobs	6	7	H3k79me2	0	0.9769595414752696
emissionprobs	6	7	H3k79me2	1	0.02304045852473029
emissionprobs	6	8	H3k9ac	0	0.9555491967584507
emissionprobs	6	8	H3k9ac	1	0.044450803241549194
emissionprobs	6	9	H3k9me3	0	0.9912548547760556
emissionprobs	6	9	H3k9me3	1	0.008745145223944406
emissionprobs	7	0	H2AFZ	0	0.3563932145184197
emissionprobs	7	0	H2AFZ	1	0.6436067854815802
emissionprobs	7	1	H3K27ac	0	0.7704442776283377
emissionprobs	7	1	H3K27ac	1	0.22955572237166239
emissionprobs	7	2	H3k27me3	0	0.9343037657979063
emissionprobs	7	2	H3k27me3	1	0.06569623420209372
emissionprobs	7	3	H3k36me3	0	0.9767397445093371
emissionprobs	7	3	H3k36me3	1	0.0232602554906629
emissionprobs	7	4	H3k4me1	0	0.4787737728258361
emissionprobs	7	4	H3k4me1	1	0.5212262271741639
emissionprobs	7	5	H3k4me2	0	0.022885508632226027
emissionprobs	7	5	H3k4me2	1	0.977114491367774
emissionprobs	7	6	H3k4me3	0	0.05968249399742226
emissionprobs	7	6	H3k4me3	1	0.9403175060025778
emissionprobs	7	7	H3k79me2	0	0.9224101406204926
emissionprobs	7	7	H3k79me2	1	0.07758985937950727
emissionprobs	7	8	H3k9ac	0	0.5423065136046336
emissionprobs	7	8	H3k9ac	1	0.45769348639536644
emissionprobs	7	9	H3k9me3	0	0.9588415436578229
emissionprobs	7	9	H3k9me3	1	0.04115845634217693
emissionprobs	8	0	H2AFZ	0	0.9719848568537583
emissionprobs	8	0	H2AFZ	1	0.028015143146241664
emissionprobs	8	1	H3K27ac	0	0.6046879962705046
emissionprobs	8	1	H3K27ac	1	0.3953120037294954
emissionprobs	8	2	H3k27me3	0	0.9953593636527533
emissionprobs	8	2	H3k27me3	1	0.004640636347246581
emissionprobs	8	3	H3k36me3	0	0.8127039530205483
emissionprobs	8	3	H3k36me3	1	0.18729604697945168
emissionprobs	8	4	H3k4me1	0	0.4121774627489362
emissionprobs	8	4	H3k4me1	1	0.5878225372510637
emissionprobs	8	5	H3k4me2	0	0.0019040367383277104
emissionprobs	8	5	H3k4me2	1	0.9980959632616723
emissionprobs	8	6	H3k4me3	0	0.09012348369709616
emissionprobs	8	6	H3k4me3	1	0.9098765163029039
emissionprobs	8	7	H3k79me2	0	0.08753509926386321
emissionprobs	8	7	H3k79me2	1	0.9124649007361368
emissionprobs	8	8	H3k9ac	0	0.459027855226648
emissionprobs	8	8	H3k9ac	1	0.540972144773352
emissionprobs	8	9	H3k9me3	0	0.9920994263163365
emissionprobs	8	9	H3k9me3	1	0.007900573683663401
emissionprobs	9	0	H2AFZ	0	0.9957251757721218
emissionprobs	9	0	H2AFZ	1	0.0042748242278780645
emissionprobs	9	1	H3K27ac	0	0.8957986489399073
emissionprobs	9	1	H3K27ac	1	0.1042013510600926
emissionprobs	9	2	H3k27me3	0	0.9966201749095512
emissionprobs	9	2	H3k27me3	1	0.003379825090448683
emissionprobs	9	3	H3k36me3	0	0.7037104790308061
emissionprobs	9	3	H3k36me3	1	0.296289520969194
emissionprobs	9	4	H3k4me1	0	0.5194080315357716
emissionprobs	9	4	H3k4me1	1	0.4805919684642284
emissionprobs	9	5	H3k4me2	0	0.5713614106663629
emissionprobs	9	5	H3k4me2	1	0.4286385893336371
emissionprobs	9	6	H3k4me3	0	0.9529029772770415
emissionprobs	9	6	H3k4me3	1	0.04709702272295841
emissionprobs	9	7	H3k79me2	0	0.256260009082399
emissionprobs	9	7	H3k79me2	1	0.743739990917601
emissionprobs	9	8	H3k9ac	0	0.9375765159641201
emissionprobs	9	8	H3k9ac	1	0.06242348403587999
emissionprobs	9	9	H3k9me3	0	0.9888523001384759
emissionprobs	9	9	H3k9me3	1	0.011147699861524103
emissionprobs	10	0	H2AFZ	0	0.9994152885290233
emissionprobs	10	0	H2AFZ	1	5.847114709767818E-4
emissionprobs	10	1	H3K27ac	0	0.9985075653538528
emissionprobs	10	1	H3K27ac	1	0.0014924346461472578
emissionprobs	10	2	H3k27me3	0	0.9991297211143281
emissionprobs	10	2	H3k27me3	1	8.702788856719479E-4
emissionprobs	10	3	H3k36me3	0	0.8869423864721319
emissionprobs	10	3	H3k36me3	1	0.11305761352786813
emissionprobs	10	4	H3k4me1	0	0.9777593761570187
emissionprobs	10	4	H3k4me1	1	0.02224062384298138
emissionprobs	10	5	H3k4me2	0	0.9964915876675368
emissionprobs	10	5	H3k4me2	1	0.0035084123324633197
emissionprobs	10	6	H3k4me3	0	0.9991111552265943
emissionprobs	10	6	H3k4me3	1	8.888447734056558E-4
emissionprobs	10	7	H3k79me2	0	0.4083115464027311
emissionprobs	10	7	H3k79me2	1	0.591688453597269
emissionprobs	10	8	H3k9ac	0	0.9932240151342185
emissionprobs	10	8	H3k9ac	1	0.006775984865781439
emissionprobs	10	9	H3k9me3	0	0.9932692679333123
